customer_id;first_name;last_name;gender;past_3_years_bike_related_purchases;DOB;Age;Age Group;job_title;job_industry_category;wealth_segment;deceased_indicator;owns_car;tenure
20;Basile;Firth;Male;72;1980/08/13;44;Middle Age;Project Manager;Manufacturing;Mass Customer;N;No;11
21;Mile;Cammocke;Male;74;1980/09/20;61;Older Adult;Safety Technician I;Manufacturing;Affluent Customer;N;Yes;16
22;Deeanne;Durtnell;Female;79;1962/12/10;29;Young Adult;;IT;Mass Customer;N;No;11
23;Olav;Polak;Male;43;1995/02/10;46;Middle Age;;;High Net Worth;N;Yes;1
24;Kim;Skpsey;Female;55;1977/12/03;47;Middle Age;Research Assistant I;Argiculture;Mass Customer;N;Yes;15
25;Geoff;Assaf;Male;72;1976/12/02;46;Middle Age;Accounting Assistant III;Financial Services;Mass Customer;N;Yes;21
26;Trixi;Ginnelly;Female;12;1978/06/10;46;Middle Age;Editor;Financial Services;Mass Customer;N;Yes;16
27;Garvin;Klees;Male;37;1978/09/25;51;Middle Age;Research Nurse;Health;Mass Customer;N;Yes;12
28;Fee;Zellmer;Male;5;1973/09/30;56;Middle Age;Senior Quality Engineer;Health;Affluent Customer;N;Yes;21
29;Mona;Sancraft;Female;62;1968/06/22;63;Older Adult;Safety Technician III;Manufacturing;Mass Customer;N;No;19
30;Darrick;Helleckas;Male;18;1961/10/18;61;Older Adult;;IT;Affluent Customer;N;Yes;6
31;Star;Praton;Female;3;1962/11/24;29;Young Adult;Staff Accountant III;Telecommunications;High Net Worth;N;Yes;14
32;Marion;Vanichkin;Female;17;1995/04/20;67;Older Adult;Legal Assistant;Manufacturing;Affluent Customer;N;No;4
33;Ernst;Hacon;Male;44;1957/06/25;80;Elderly Adult;Product Engineer;;Affluent Customer;N;Yes;11
34;Jephthah;Bachmann;;59;1943/12/21;61;Older Adult;Legal Assistant;IT;Affluent Customer;N;No;20
35;Margaretha;Strettle;Female;40;1963/09/28;46;Middle Age;Information Systems Manager;Health;High Net Worth;N;Yes;16
36;Lurette;Stonnell;Female;33;1977/11/09;38;Young Adult;VP Quality Control;;Affluent Customer;N;No;22
37;Laurie;Dwerryhouse;Female;46;1985/12/22;69;Older Adult;Social Worker;Health;High Net Worth;N;No;16
38;Cordi;Merman;Female;37;1955/10/29;45;Middle Age;Senior Cost Accountant;Financial Services;Affluent Customer;N;No;20
39;Hunfredo;Smalley;Male;5;1979/04/16;43;Middle Age;Assistant Media Planner;Entertainment;Mass Customer;N;No;22
40;Tomasine;Jerche;Female;91;1981/10/27;48;Middle Age;Payment Adjustment Coordinator;Manufacturing;Affluent Customer;N;No;14
41;Basilius;Coupe;Male;64;1976/04/14;47;Middle Age;Food Chemist;Health;Mass Customer;N;No;16
42;Chiquita;Durnall;Female;24;1977/03/28;41;Middle Age;Accountant III;Manufacturing;Mass Customer;N;No;18
43;Indira;Belt;Female;38;1983/03/01;43;Middle Age;Director of Sales;Retail;Mass Customer;N;No;5
44;Neron;Verick;Male;63;1981/10/18;49;Middle Age;Assistant Media Planner;Entertainment;Affluent Customer;N;Yes;17
45;Trace;Woodhead;Male;64;1975/09/23;52;Middle Age;Senior Financial Analyst;Financial Services;Mass Customer;N;No;8
46;Kaila;Allin;Female;98;1972/02/26;32;Young Adult;;;Affluent Customer;N;Yes;15
47;Matthew;Jeaycock;Male;51;1992/10/22;49;Middle Age;Registered Nurse;Health;Affluent Customer;N;No;2
48;Rebbecca;Casone;Female;46;1975/08/15;30;Young Adult;Biostatistician II;;Mass Customer;N;Yes;8
49;Nolly;Ownsworth;Male;63;1994/01/26;44;Middle Age;VP Quality Control;;Affluent Customer;N;No;1
50;Whitby;Schapero;Male;38;1980/10/01;64;Older Adult;Account Executive;Manufacturing;Mass Customer;N;Yes;16
51;Fidelio;Dilke;Male;68;1959/12/05;36;Young Adult;Computer Systems Analyst II;Retail;Mass Customer;N;No;18
52;Curran;Bentson;Male;57;1988/06/22;70;Older Adult;;Financial Services;Mass Customer;N;Yes;13
53;Agnella;Gocke;Female;22;1954/04/18;58;Middle Age;Software Test Engineer II;Financial Services;Mass Customer;N;No;16
54;Loralyn;Wonfor;Female;2;1966/07/24;68;Older Adult;Sales Associate;Property;Mass Customer;N;Yes;18
55;Linc;Jillions;Male;48;1956/09/24;28;Young Adult;Paralegal;Financial Services;Affluent Customer;N;Yes;7
56;Reese;Ensor;Male;44;1996/07/04;36;Young Adult;VP Sales;Property;Mass Customer;N;Yes;4
57;Abba;Masedon;Male;87;1988/06/13;57;Middle Age;Chief Design Engineer;;Mass Customer;N;Yes;13
58;Dalenna;Pinnock;Female;26;1967/07/04;24;Young Adult;Office Assistant III;Financial Services;Affluent Customer;N;Yes;17
59;Niki;Heathcote;Male;60;2000/02/08;54;Middle Age;Physical Therapy Assistant;;High Net Worth;N;No;3
60;Nadiya;Champerlen;Female;18;1970/02/04;64;Older Adult;;Manufacturing;Mass Customer;N;No;10
61;Kacey;Rowbottom;Female;47;1959/11/29;45;Middle Age;Help Desk Operator;Property;High Net Worth;N;No;13
62;Sorcha;Roggers;Female;38;1979/07/06;59;Middle Age;;IT;Mass Customer;N;Yes;22
63;Ebony;Zini;Female;58;1965/07/03;46;Middle Age;Senior Quality Engineer;Retail;Mass Customer;N;Yes;16
64;Gerek;Yve;Male;73;1978/03/25;48;Middle Age;Legal Assistant;IT;High Net Worth;N;No;4
65;Yale;Tanser;Male;21;1976/04/01;22;Young Adult;Information Systems Manager;Financial Services;Affluent Customer;N;Yes;15
66;Anselm;Gawne;Male;46;2002/03/11;64;Older Adult;Account Executive;Argiculture;High Net Worth;N;No;1
67;Vernon;;Male;67;1960/06/14;50;Middle Age;Web Developer II;Retail;Mass Customer;N;No;18
68;Dahlia;Eddoes;Female;37;1974/04/21;55;Middle Age;Information Systems Manager;;Affluent Customer;N;No;9
69;Heidi;Milner;Female;16;1969/06/22;31;Young Adult;Web Developer II;;Mass Customer;N;No;6
70;Foster;Vannoort;Male;78;1993/02/27;39;Middle Age;Paralegal;Financial Services;Affluent Customer;N;No;8
71;Hoyt;Glavias;Male;30;1985/01/27;52;Middle Age;Research Associate;Argiculture;Affluent Customer;N;Yes;12
72;Sammy;Cheese;Male;93;1972/02/13;64;Older Adult;Administrative Officer;Manufacturing;Affluent Customer;N;Yes;16
73;Minette;Worters;Female;16;1960/05/27;55;Middle Age;Teacher;;Affluent Customer;N;Yes;5
74;Pansy;Kiddie;Female;94;1969/06/19;46;Middle Age;;;Mass Customer;N;Yes;6
75;Dollie;Sealy;Female;28;1978/07/15;46;Middle Age;VP Product Management;Property;Mass Customer;N;No;19
76;Rea;Hasser;Female;20;1978/01/23;35;Young Adult;Statistician II;Retail;High Net Worth;N;Yes;18
77;Shermie;Andrin;Male;79;1989/09/12;39;Middle Age;Automation Specialist IV;Financial Services;Mass Customer;N;No;7
78;Arch;Van der Kruis;Male;37;1985/03/12;56;Middle Age;Business Systems Development Analyst;Argiculture;Affluent Customer;N;No;8
79;Tybi;Silliman;Female;76;1968/10/02;46;Middle Age;Account Executive;Manufacturing;Mass Customer;N;No;18
80;Pablo;Small;Male;11;1978/04/24;38;Young Adult;Data Coordiator;Entertainment;Mass Customer;N;No;13
81;Bee;Blazewicz;Female;58;1986/09/04;59;Middle Age;;Health;High Net Worth;N;No;13
82;Gleda;Cokely;Female;93;1965/06/28;57;Middle Age;Software Test Engineer III;Property;High Net Worth;N;No;19
83;Kerr;Simmell;Male;97;1967/02/26;66;Older Adult;Internal Auditor;IT;Mass Customer;N;Yes;18
84;Rich;Mathiasen;Male;78;1958/02/07;66;Older Adult;Accountant III;;Mass Customer;N;Yes;14
85;Kane;Tixall;Male;1;1958/05/21;35;Young Adult;Analyst Programmer;;Mass Customer;N;No;8
86;Job;Sleney;Male;75;1989/03/04;50;Middle Age;Occupational Therapist;Health;High Net Worth;N;Yes;7
87;Fields;Langdon;Male;78;1974/04/23;58;Middle Age;Editor;Financial Services;Mass Customer;N;No;8
88;Malynda;Tumber;Female;41;1966/02/03;57;Middle Age;Help Desk Operator;Property;High Net Worth;N;Yes;7
89;Benedicto;Hoxey;Male;74;1967/01/22;39;Middle Age;Speech Pathologist;Health;Mass Customer;N;Yes;14
90;Cary;Garron;Male;76;1984/11/12;69;Older Adult;Quality Control Specialist;Manufacturing;Mass Customer;N;No;11
91;Dylan;Meaker;Male;69;1955/02/24;44;Middle Age;Senior Financial Analyst;Financial Services;Affluent Customer;N;Yes;17
92;Jodee;Judkins;Female;98;1980/09/11;48;Middle Age;Recruiting Manager;Health;Mass Customer;N;No;12
93;Gordon;Gowar;Male;63;1976/07/16;50;Middle Age;Project Manager;Retail;Mass Customer;N;Yes;10
94;Wallache;Simchenko;Male;33;1974/08/07;63;Older Adult;Civil Engineer;Manufacturing;Mass Customer;N;No;21
95;Nomi;Mallinder;Female;67;1960/12/25;56;Middle Age;Software Engineer III;Manufacturing;Affluent Customer;N;Yes;8
96;Heath;Olford;Male;33;1968/08/31;45;Middle Age;Nuclear Power Engineer;Manufacturing;Mass Customer;N;No;15
97;Arne;Corain;Male;16;1979/07/27;68;Older Adult;Community Outreach Specialist;Financial Services;Mass Customer;N;Yes;10
98;Allianora;Babalola;Female;19;1956/03/17;26;Young Adult;Safety Technician IV;Health;Mass Customer;N;No;7
99;Reggie;Mulliner;Male;97;1998/06/13;56;Middle Age;VP Accounting;Financial Services;Mass Customer;N;No;3
100;Tripp;Steed;Male;80;1968/05/11;48;Middle Age;General Manager;Financial Services;Mass Customer;N;Yes;4
101;Goran;Kwietek;Male;83;1975/12/29;67;Older Adult;Nurse Practicioner;Manufacturing;High Net Worth;N;No;11
102;Langsdon;Tranfield;Male;51;1956/11/27;27;Young Adult;Quality Control Specialist;Manufacturing;Affluent Customer;N;No;16
103;Ethyl;Runham;Female;49;1997/04/21;46;Middle Age;Product Engineer;Financial Services;Affluent Customer;N;Yes;4
104;Odille;Panketh;Female;40;1978/06/06;23;Young Adult;Automation Specialist II;Health;Mass Customer;N;Yes;9
105;Maribeth;Pristnor;Female;25;2001/09/17;58;Middle Age;Recruiting Manager;Manufacturing;Mass Customer;N;No;1
106;Glyn;;Male;54;1966/07/03;34;Young Adult;Software Test Engineer III;Health;High Net Worth;N;Yes;18
107;Pris;Stallebrass;Female;97;1990/07/01;30;Young Adult;Nurse Practicioner;Financial Services;Mass Customer;N;Yes;9
108;Kayle;Mingaud;Female;4;1994/03/14;45;Middle Age;;;High Net Worth;N;No;3
109;Cody;Blabey;Male;16;1978/12/11;24;Young Adult;Marketing Assistant;;Affluent Customer;N;Yes;4
110;Sascha;St. Quintin;Male;23;2000/07/31;31;Young Adult;;Financial Services;Affluent Customer;N;No;1
111;Cele;Evason;Female;65;1993/08/29;49;Middle Age;Analyst Programmer;;Mass Customer;N;No;2
112;Shena;Parren;Female;88;1975/08/12;68;Older Adult;Marketing Manager;Retail;High Net Worth;N;No;12
113;Gage;Nickless;Male;67;1956/05/06;39;Young Adult;Staff Scientist;;Mass Customer;N;No;20
114;Sunny;Swindells;Female;10;1985/10/23;42;Middle Age;Teacher;Entertainment;Affluent Customer;N;No;8
115;Alberik;Mereweather;Male;77;1981/12/21;25;Young Adult;Account Executive;Health;Mass Customer;N;No;18
116;Scottie;Swiffen;Male;49;1999/02/05;42;Middle Age;Assistant Professor;Manufacturing;Affluent Customer;N;Yes;2
117;Nance;Suttling;Female;75;1982/02/23;64;Older Adult;Marketing Manager;Manufacturing;Mass Customer;N;No;15
118;Prentice;Pearmain;Male;43;1959/11/12;42;Middle Age;Budget/Accounting Analyst IV;;High Net Worth;N;No;19
119;Willey;Chastanet;Male;9;1981/12/04;46;Middle Age;Associate Professor;;High Net Worth;N;Yes;9
120;Sloan;Wagg;Male;80;1978/09/02;67;Older Adult;Legal Assistant;Financial Services;High Net Worth;N;Yes;4
121;Myles;Pauncefort;Male;82;1957/10/02;45;Middle Age;Graphic Designer;Manufacturing;Mass Customer;N;No;15
122;Colver;Itter;Male;87;1979/04/19;35;Young Adult;Quality Control Specialist;Financial Services;Mass Customer;N;Yes;12
123;Almeta;Kalinsky;Female;85;1988/12/03;29;Young Adult;Analyst Programmer;Financial Services;High Net Worth;N;No;15
124;Kath;Cunney;Female;27;1995/05/03;64;Older Adult;Administrative Assistant II;Health;High Net Worth;N;Yes;5
125;Darrelle;Antoniewski;Female;94;1960/03/17;32;Young Adult;Computer Systems Analyst II;Property;Mass Customer;N;No;16
126;Norman;Cliff;Male;53;1992/10/15;49;Middle Age;Administrative Officer;Health;Mass Customer;N;Yes;3
127;Merrili;Whitear;Female;81;1974/12/03;47;Middle Age;Compensation Analyst;Financial Services;Mass Customer;N;No;19
128;Isidro;Cypler;Male;73;1977/07/17;39;Young Adult;Systems Administrator III;Property;Mass Customer;N;Yes;12
129;Weidar;Silkstone;Male;64;1985/07/20;27;Young Adult;Financial Advisor;Financial Services;High Net Worth;N;Yes;19
130;Raddy;Delete;Male;32;1997/07/18;60;Older Adult;Chemical Engineer;Manufacturing;Mass Customer;N;No;1
131;Jana;Renyard;Female;57;1964/10/16;61;Older Adult;Administrative Officer;Retail;High Net Worth;N;No;8
132;Celesta;Willavoys;Female;5;1963/07/07;47;Middle Age;Web Designer I;Manufacturing;Mass Customer;N;Yes;9
133;Eldridge;Fiddeman;Male;12;1977/06/13;27;Young Adult;VP Accounting;Financial Services;Mass Customer;N;Yes;16
134;Merna;McCulloch;Female;34;1997/08/01;49;Middle Age;Legal Assistant;Telecommunications;Affluent Customer;N;Yes;5
135;Rosalia;Sigart;Female;18;1975/01/18;51;Middle Age;Internal Auditor;IT;Mass Customer;N;No;3
136;Mel;Bennet;Male;46;1973/05/26;36;Young Adult;Senior Developer;Manufacturing;High Net Worth;N;Yes;7
137;Vaughn;Artin;Male;27;1987/11/21;39;Young Adult;Office Assistant II;Property;High Net Worth;N;No;10
138;Onofredo;Franc;Male;5;1985/04/28;60;Older Adult;Recruiter;Financial Services;Affluent Customer;N;Yes;13
139;Gar;;Male;1;1964/07/28;30;Young Adult;Operator;Telecommunications;Affluent Customer;N;No;4
140;Morrie;Flaxon;Male;9;1994/05/20;70;Older Adult;Programmer Analyst III;Manufacturing;Mass Customer;N;No;2
141;Townsend;Trobe;Male;67;1954/06/25;57;Middle Age;Teacher;Financial Services;High Net Worth;N;Yes;10
142;Bentley;Fortesquieu;Male;57;1967/08/07;67;Older Adult;Quality Engineer;Health;Affluent Customer;N;No;17
143;Kendall;Figg;Male;19;1957/09/01;124;Elderly Adult;Operator;Argiculture;Mass Customer;N;Yes;11
144;Jory;Barrabeale;;71;;27;Young Adult;Environmental Tech;IT;Mass Customer;N;No;
145;Filippo;Ferrara;Male;33;1997/07/21;39;Middle Age;Account Executive;Financial Services;Mass Customer;N;No;4
146;Ricoriki;Matlock;Male;34;1985/04/08;50;Middle Age;Quality Control Specialist;Manufacturing;Mass Customer;N;No;8
147;Rea;Pattrick;Female;32;1973/12/06;43;Middle Age;Analog Circuit Design manager;Health;Mass Customer;N;Yes;10
148;Jaquith;Maffey;Female;69;1981/05/08;29;Young Adult;Programmer Analyst III;;Mass Customer;N;Yes;5
149;Drucy;Kausche;Female;41;1995/01/31;41;Middle Age;Research Nurse;Health;Mass Customer;N;Yes;1
150;Bradly;Crosse;Male;6;1983/08/23;59;Older Adult;Cost Accountant;Financial Services;Affluent Customer;N;No;17
151;Donnie;Brimson;Male;36;1965/01/31;43;Middle Age;Marketing Manager;Manufacturing;Mass Customer;N;Yes;13
152;Stephana;Cardew;Female;5;1981/03/03;47;Middle Age;Compensation Analyst;Financial Services;Mass Customer;N;No;16
153;Lorilyn;Walshe;Female;73;1977/07/28;66;Older Adult;Assistant Media Planner;Entertainment;Mass Customer;N;Yes;12
154;Faydra;Dulieu;Female;90;1958/02/13;38;Young Adult;Junior Executive;;Mass Customer;N;No;11
155;Orran;Bogges;Male;4;1985/12/28;45;Middle Age;Quality Engineer;Manufacturing;Mass Customer;N;No;10
156;Shayla;Rimmington;Female;23;1979/09/09;49;Middle Age;Cost Accountant;Financial Services;Mass Customer;N;Yes;11
157;Chad;Houtby;Male;97;1974/11/23;40;Middle Age;Financial Advisor;Financial Services;Affluent Customer;N;No;16
158;Hamlin;Odams;Male;99;1984/09/03;37;Young Adult;Internal Auditor;;Affluent Customer;N;No;5
159;Arin;Matskevich;Male;90;1987/05/12;60;Older Adult;Research Nurse;Health;Affluent Customer;N;No;13
160;Wake;Durning;Male;5;1964/07/15;48;Middle Age;Registered Nurse;Health;Mass Customer;N;No;18
161;Tadd;Bloss;Male;49;1976/01/21;45;Middle Age;;;Mass Customer;N;No;16
162;Port;Acuna;Male;90;1979/08/12;48;Middle Age;Nurse Practicioner;IT;Mass Customer;N;No;15
163;Kessia;Helder;Female;58;1976/09/06;25;Young Adult;Librarian;Entertainment;High Net Worth;N;Yes;14
164;Aarika;Van Vuuren;Female;55;1999/08/07;40;Middle Age;Senior Editor;Retail;Affluent Customer;N;Yes;1
165;Aldon;Roelofs;Male;61;1984/03/25;69;Older Adult;Administrative Officer;Argiculture;Mass Customer;N;Yes;12
166;Elston;Oleszczak;Male;54;1955/06/12;55;Middle Age;Structural Analysis Engineer;Manufacturing;Affluent Customer;N;No;6
167;Nathalie;Tideswell;Female;95;1969/10/27;124;Elderly Adult;;Health;High Net Worth;N;Yes;17
168;Reggie;Broggetti;;8;;67;Older Adult;General Manager;IT;Affluent Customer;N;Yes;
169;Alfy;Bruhnke;Male;20;1957/10/19;49;Middle Age;Data Coordiator;Telecommunications;High Net Worth;N;Yes;5
170;Jammal;Gever;Male;80;1975/06/02;53;Middle Age;Pharmacist;Health;High Net Worth;N;No;21
171;Halli;Davidoff;Female;62;1970/12/04;36;Young Adult;Assistant Manager;Manufacturing;Mass Customer;N;No;10
172;Hilton;Carney;Male;54;1988/09/12;27;Young Adult;Editor;Manufacturing;Affluent Customer;N;Yes;6
173;Ebba;Hanselmann;Female;99;1997/01/02;34;Young Adult;General Manager;Health;Affluent Customer;N;No;1
174;Catie;Tosspell;Female;93;1989/11/26;48;Middle Age;Food Chemist;Health;Mass Customer;N;No;12
175;Templeton;Hambrook;Male;36;1975/11/28;32;Young Adult;Quality Engineer;Manufacturing;Affluent Customer;N;No;5
176;Angelo;Clayal;Male;39;1992/04/13;34;Young Adult;Accountant I;Property;Mass Customer;N;No;10
177;Ondrea;Pablos;Female;25;1989/11/09;57;Middle Age;Professor;Financial Services;High Net Worth;N;No;4
178;Matthieu;Bertelmot;Male;2;1967/04/03;58;Middle Age;;;Affluent Customer;N;No;8
179;Esteban;Sewill;Male;23;1966/05/11;53;Middle Age;Environmental Tech;Manufacturing;High Net Worth;N;Yes;6
180;Trisha;Neasham;Female;16;1971/09/17;41;Middle Age;Web Designer III;Argiculture;Affluent Customer;N;No;14
181;Pavla;Braunle;Female;49;1982/11/21;31;Young Adult;Senior Editor;Manufacturing;Mass Customer;N;No;9
182;Lydon;Dahlman;Male;99;1992/11/20;27;Young Adult;Sales Associate;Financial Services;Affluent Customer;N;Yes;7
183;Dannie;Hissie;Female;7;1997/08/05;52;Middle Age;Geologist III;Retail;Affluent Customer;N;No;3
184;Nappie;Paolo;Male;40;1971/12/13;44;Middle Age;Marketing Manager;Manufacturing;High Net Worth;N;Yes;7
185;Crosby;Walcot;Male;80;1979/12/13;50;Middle Age;;Property;Mass Customer;N;Yes;13
186;Mireielle;Jeppe;Female;46;1974/05/06;70;Older Adult;Software Test Engineer I;Financial Services;Mass Customer;N;No;3
187;Pincas;Ather;Male;97;1954/01/28;49;Middle Age;Structural Engineer;;Mass Customer;N;No;11
188;Audry;Seine;Female;54;1975/06/22;43;Middle Age;Safety Technician II;Property;High Net Worth;N;Yes;13
189;Umberto;Torricella;Male;73;1981/07/19;45;Middle Age;Safety Technician I;Financial Services;Affluent Customer;N;No;10
190;Hayley;Girardengo;Female;42;1979/02/04;64;Older Adult;Registered Nurse;Health;Affluent Customer;N;No;10
191;Christopher;Heining;Male;22;1960/04/27;45;Middle Age;Help Desk Operator;;Affluent Customer;N;Yes;6
192;Goldi;Osler;Female;2;1978/11/19;60;Older Adult;Junior Executive;Health;Mass Customer;N;Yes;8
193;Foss;Hardes;Male;13;1964/07/22;49;Middle Age;Recruiting Manager;Manufacturing;Mass Customer;N;Yes;12
194;Ursala;Ferrai;Female;4;1974/11/16;65;Older Adult;Web Developer III;Financial Services;Affluent Customer;N;No;10
195;Talyah;Rylatt;Female;34;1958/11/14;58;Middle Age;Project Manager;Manufacturing;Mass Customer;N;No;6
196;Swen;Odhams;Male;90;1966/02/22;47;Middle Age;Programmer Analyst II;Manufacturing;High Net Worth;N;No;6
197;Avis;;Female;32;1977/01/27;42;Middle Age;;;High Net Worth;N;No;5
198;Vanya;Gumb;Female;82;1981/11/29;46;Middle Age;Assistant Media Planner;Entertainment;Mass Customer;N;No;16
199;Verla;Alven;Female;61;1978/02/13;67;Older Adult;Junior Executive;Health;Mass Customer;N;Yes;21
200;Hube;Weald;Male;7;1957/02/04;58;Middle Age;Physical Therapy Assistant;Property;Affluent Customer;N;Yes;19
201;Salem;Huie;Male;45;1966/04/20;61;Older Adult;Design Engineer;Manufacturing;Mass Customer;N;Yes;11
202;Audie;Pillinger;Female;38;1963/06/24;60;Older Adult;Librarian;Entertainment;Affluent Customer;N;Yes;16
203;Donovan;Conry;Male;71;1964/01/13;48;Middle Age;Senior Quality Engineer;Argiculture;Mass Customer;N;Yes;11
204;Thorny;Hackworth;Male;56;1976/10/01;65;Older Adult;Editor;Financial Services;Mass Customer;N;No;5
205;Rolfe;Kellard;Male;18;1958/12/01;70;Older Adult;Administrative Assistant II;Financial Services;Mass Customer;N;Yes;6
206;Mari;Chevolleau;Female;98;1954/07/19;30;Young Adult;Statistician I;;Mass Customer;N;Yes;14
207;Adena;Whyman;Female;9;1994/08/10;29;Young Adult;;;Mass Customer;N;No;7
208;Rutter;Excell;Male;57;1994/10/31;67;Older Adult;Office Assistant III;Property;High Net Worth;N;No;5
209;Udall;Bellard;Male;9;1957/08/28;60;Older Adult;Analog Circuit Design manager;;Affluent Customer;N;Yes;6
210;Albrecht;Thomasson;Male;50;1963/11/18;50;Middle Age;Assistant Manager;Property;Mass Customer;N;No;18
211;Beitris;;Female;6;1974/03/04;22;Young Adult;VP Marketing;Manufacturing;Mass Customer;N;Yes;5
212;Nanice;Ellse;Female;21;2001/11/19;28;Young Adult;Desktop Support Technician;IT;Affluent Customer;N;No;1
213;Lockwood;Exroll;Male;13;1996/05/14;66;Older Adult;Actuary;Financial Services;High Net Worth;N;Yes;6
214;Jeramie;Cellier;Male;82;1957/11/29;50;Middle Age;Food Chemist;Health;Mass Customer;N;No;6
215;Debera;Foxworthy;Female;37;1974/06/24;29;Young Adult;Assistant Professor;Retail;High Net Worth;N;Yes;18
216;Cinderella;Parcall;Female;12;1995/01/12;44;Middle Age;Quality Engineer;Financial Services;High Net Worth;N;Yes;7
217;Jeralee;Quartly;Female;63;1979/12/09;31;Young Adult;;Manufacturing;High Net Worth;N;No;16
218;Stefa;Dunnan;Female;37;1993/08/06;59;Older Adult;Administrative Officer;Property;High Net Worth;N;Yes;8
219;Markus;Mughal;Male;9;1964/11/25;70;Older Adult;Database Administrator III;Health;Mass Customer;N;No;7
220;Jeniffer;Apark;Female;79;1954/05/10;44;Middle Age;Electrical Engineer;Manufacturing;High Net Worth;N;No;9
221;Mara;Bloore;Female;14;1980/03/10;46;Middle Age;Tax Accountant;Manufacturing;Mass Customer;N;No;14
222;Nev;Larive;Male;89;1978/09/03;40;Middle Age;Clinical Specialist;Health;Mass Customer;N;No;16
223;Ossie;Meaton;Male;13;1983/11/26;56;Middle Age;VP Sales;;Affluent Customer;N;Yes;14
224;Morgun;Girvan;Male;2;1967/12/03;47;Middle Age;Compensation Analyst;Financial Services;Affluent Customer;N;No;17
225;Brittaney;Pring;Female;84;1977/03/11;46;Middle Age;Pharmacist;Health;Affluent Customer;N;No;13
226;Bondie;Letty;Male;96;1977/11/11;51;Middle Age;Database Administrator IV;Manufacturing;Mass Customer;N;No;20
227;Wendall;McKeand;Male;99;1973/08/14;38;Young Adult;Accountant I;Entertainment;Mass Customer;N;No;18
228;Lucia;Pickervance;Female;59;1986/05/25;58;Middle Age;Systems Administrator II;Manufacturing;High Net Worth;N;No;12
229;Vaughn;Lambis;Male;30;1966/03/06;70;Older Adult;;Property;High Net Worth;N;No;19
230;Maegan;Scyone;Female;74;1954/06/24;29;Young Adult;Internal Auditor;Property;High Net Worth;N;No;11
231;Basile;Winsor;Male;48;1995/08/05;36;Young Adult;Design Engineer;Financial Services;Mass Customer;N;Yes;3
232;Zaria;Koeppke;Female;94;1987/11/11;38;Young Adult;Professor;Retail;Mass Customer;N;No;12
233;Art;Barwell;Male;34;1986/08/08;55;Middle Age;Environmental Tech;Property;Mass Customer;N;No;13
234;Mead;Alpes;Female;71;1969/08/12;47;Middle Age;Chief Design Engineer;Retail;High Net Worth;N;No;12
235;Leona;Phateplace;Female;30;1976/12/26;70;Older Adult;Social Worker;Health;Mass Customer;N;No;15
236;Tybalt;Gillingwater;Male;79;1954/10/30;50;Middle Age;Research Nurse;Health;Affluent Customer;N;No;14
237;Reginald;Dartan;Male;18;1974/03/07;40;Middle Age;Account Coordinator;Property;High Net Worth;N;Yes;11
238;Max;Bilborough;Male;54;1984/02/04;31;Young Adult;Programmer III;;Mass Customer;N;Yes;14
